airport_code,city,state,metro_area,facility_name,longitude,latitude,air_service,cbsa_code,cbsa_type
AKP,Anaktuvuk Pass,AK,,Anaktuvuk Pass,-151.74334,68.1336,1,,0
ALB,Albany,NY,Albany-Schenectady-Troy NY,Albany Intl Airport,-73.80298,42.74812,1,10580.0,1
ALM,Alamogordo,NM,Alamogordo NM,Alamogordo-White Sands Regl,-105.99058000000001,32.839940000000006,1,10460.0,2
ALO,Waterloo,IA,Waterloo-Cedar Falls IA,Waterloo Municipal,-92.40034,42.55708,1,47940.0,1
ALS,Alamosa,CO,,San Luis Valley Regl/Bergman Fld,-105.86656,37.43492,1,,0
ALW,Walla Walla,WA,Walla Walla WA,Walla Walla Regional,-118.28804,46.094559999999994,1,47460.0,1
AMA,Amarillo,TX,Amarillo TX,Rick Husband Amarillo Intl,-101.70593000000001,35.21937,1,11100.0,1
ANC,Anchorage,AK,Anchorage AK,Ted Stevens Anchorage International,-149.99636,61.17436,1,11260.0,1
ANI,Aniak,AK,,Aniak,-159.54304,61.5816,1,,0
AOO,Altoona (Martinsburg),PA,Altoona PA,Altoona-Blair County,-78.32002,40.29637,1,11020.0,1
AOS,Amook Bay,AK,,Amook Bay,-153.81536,57.47149,1,,0
APN,Alpena,MI,Alpena MI,Alpena County Regional,-83.56029000000001,45.078070000000004,1,10980.0,2
ART,Watertown (Dexter),NY,Watertown-Fort Drum NY,Watertown Intl,-76.02174000000001,43.99192,1,48060.0,1
ARV,Arctic Village,AK,,Arctic Village,-145.57611,68.11608000000001,1,,0
ASE,Aspen,CO,Glenwood Springs CO,Aspen-Pitkin Co/Sardy Field,-106.86886000000001,39.22317,1,24060.0,2
ATK,Atqasuk,AK,,Atqasuk Edward Burnell Sr Memorial,-157.43573999999998,70.46728,1,,0
ATL,Atlanta,GA,Atlanta-Sandy Springs-Roswell GA,Hartsfield-Jackson Atlanta Intl Airport,-84.42694,33.640440000000005,1,12060.0,1
ATT,Atmautluak,AK,,Atmautluak,-162.27313999999998,60.86675,1,,0
ATW,Appleton,WI,Appleton WI,Outagamie County Regional,-88.51948,44.25741,1,11540.0,1
ATY,Watertown,SD,Watertown SD,Watertown Regl,-97.15472,44.91398,1,47980.0,2
AUG,Augusta,ME,Augusta-Waterville ME,August State,-69.79732,44.32065,1,12300.0,2
AUK,Alakanuk,AK,,Alakanuk,-164.65993,62.680040000000005,1,,0
AUS,Austin,TX,Austin-Round Rock TX,Austin-Bergstrom Intl,-97.66989000000001,30.19453,1,12420.0,1
AVL,Asheville (Fletcher),NC,Asheville NC,Asheville Regional,-82.54181,35.43619,1,11700.0,1
AVP,Wilkes Barre/Scranton (Avoca),PA,Scranton--Wilkes-Barre--Hazleton PA,Wilkes-Barre/Scranton Intl,-75.7234,41.33848,1,42540.0,1
AZO,Kalamazoo,MI,Kalamazoo-Portage MI,Kalamazoo/Battle Creek Intl,-85.55206,42.23488,1,28020.0,1
BDL,Windsor Locks,CT,Hartford-West Hartford-East Hartford CT,Bradley International,-72.68321999999999,41.93889,1,25540.0,1
BED,Bedford,MA,Boston-Cambridge-Newton MA-NH,Laurence G Hanscom Field,-71.28903000000001,42.46995,1,14460.0,1
BET,Bethel,AK,,Bethel,-161.838,60.77978,1,,0
BFD,Bradford (Lewis Run),PA,Bradford PA,Bradford Regional,-78.64012,41.80307,1,14620.0,2
BFF,Scottsbluff,NE,Scottsbluff NE,Western Nebraska Regional/William B Helig Field,-103.59564,41.87403,1,42420.0,2
BFI,Seattle,WA,Seattle-Tacoma-Bellevue WA,Boeing Field/King County Intl,-122.30196000000001,47.529990000000005,1,42660.0,1
BFL,Bakersfield,CA,Bakersfield CA,Meadows Field,-119.05677,35.4336,1,12540.0,1
BGM,Binghamton (Johnson City),NY,Binghamton NY,Binghamton Regl,-75.97961,42.20847,1,13780.0,1
BGR,Bangor,ME,Bangor ME,Bangor International,-68.82814,44.80744,1,12620.0,1
BHB,Trenton,ME,,Hancock County-Bar Harbor,-68.3615,44.449690000000004,1,,0
BHM,Birmingham,AL,Birmingham-Hoover AL,Birmingham Intl,-86.75355,33.562940000000005,1,13820.0,1
BIC,Big Creek,AK,,Big Creek Airpport,-157.58333000000002,57.666669999999996,1,,0
BID,Block Island,RI,Providence-Warwick RI-MA,Block Island State,-71.57784000000001,41.16812,1,39300.0,1
BIG,Delta Junction,AK,,Allen AAF,-145.72163999999998,63.99455,1,,0
BIL,Billings,MT,Billings MT,Billings Logan Intl,-108.54286,45.80766,1,13740.0,1
BIS,Bismarck,ND,Bismarck ND,Bismarck Municipal,-100.74574,46.772729999999996,1,13900.0,1
BJI,Bemidji,MN,Bemidji MN,Bemidji Regional Airport,-94.93372,47.50942,1,13420.0,2
BKC,Buckland,AK,,Buckland,-161.14907,65.98156999999999,1,,0
BKW,Beckley (Beaver),WV,Beckley WV,Raleigh County Memorial,-81.12416,37.78733,1,13220.0,1
BKX,Brookings,SD,Brookings SD,Brookings Municipal,-96.81694,44.304829999999995,1,15100.0,2
